# info fetched from discogs at seg 31 mai 2021 21:18:02 WEST
1963	4
1964	8
1965	46
1966	186
1967	350
1968	543
1969	891
1970	1669
1971	2292
1972	3328
1973	4079
1974	4662
1975	5725
1976	7435
1977	8543
1978	9892
1979	10420
1980	12632
1981	14304
1982	16814
1983	17982
1984	20234
1985	21567
1986	23573
1987	26482
1988	28611
1989	32986
1990	36321
1991	37207
1992	38761
1993	38534
1994	39176
1995	39064
1996	35136
1997	31423
1998	27145
1999	22978
2000	18911
2001	15981
2002	12753
2003	10102
2004	7102
2005	5532
2006	4589
2007	4666
2008	5435
2009	6747
2010	8546
2011	9499
2012	11726
2013	13968
2014	16941
2015	19550
2016	21821
2017	22386
2018	23043
2019	21814
2020	22792
